RespondentID,Country,Gender,Years_Of_Education,Anti-immigrant_Attitudes,Voted_Party
1,Austria,female,19,0,GRUNE
2,Austria,male,11,5,OVP
3,Austria,female,13,5,NEOS
4,Austria,male,12,5,GRUNE
5,Austria,female,11,10,OVP
6,Austria,female,20,7,GRUNE
7,Austria,female,14,8,GRUNE
8,Austria,male,13,7,GGG
9,Austria,male,12,8,SPO
10,Austria,female,14,9,GGG
11,Austria,male,25,4,OVP
12,Austria,male,14,7,OVP
13,Austria,male,8,5,SPO
14,Austria,female,13,5,GRUNE
15,Austria,male,14,7,OVP
16,Austria,female,16,8,SPO
17,Austria,female,13,8,OVP
18,Austria,female,8,8,OVP
19,Austria,male,9,0,NEOS
20,Austria,male,11,7,SPO
21,Austria,male,25,4,GRUNE
22,Austria,female,12,6,OVP
23,Austria,female,12,10,GGG
24,Austria,male,13,6,OVP
25,Austria,male,16,8,OVP
26,Austria,male,17,5,GRUNE
27,Austria,male,13,10,GGG
28,Austria,male,11,8,SPO
29,Austria,male,9,8,OVP
30,Austria,male,15,5,SPO
31,Austria,female,15,4,SPO
32,Austria,female,17,3,GRUNE
33,Austria,female,18,10,OVP
34,Austria,male,9,7,OVP
35,Austria,female,12,8,SPO
36,Austria,male,10,9,GGG
37,Austria,female,22,6,OVP
38,Austria,female,13,6,OVP
39,Austria,male,14,5,SPO
40,Austria,male,11,5,OVP
41,Austria,male,15,5,OVP
42,Austria,male,12,9,SPO
43,Austria,female,12,10,GGG
44,Austria,female,14,8,OVP
45,Austria,male,13,5,GRUNE
46,Austria,male,9,10,SPO
47,Austria,female,16,8,OVP
48,Austria,male,17,2,GRUNE
49,Austria,male,9,7,OVP
50,Austria,female,12,5,OVP
51,Austria,male,13,3,NEOS
52,Austria,male,10,7,GGG
53,Austria,female,13,5,GRUNE
54,Austria,male,15,9,OVP
55,Austria,male,18,5,GRUNE
56,Austria,male,11,7,SPO
57,Austria,female,20,2,GRUNE
58,Austria,male,12,6,GRUNE
59,Austria,male,11,10,SPO
60,Austria,male,9,5,OVP
61,Austria,male,11,2,SPO
62,Austria,female,15,5,OVP
63,Austria,male,18,5,NEOS
64,Austria,male,17,2,GRUNE
65,Austria,female,13,10,OVP
66,Austria,female,13,5,OVP
67,Austria,female,13,5,GRUNE
68,Austria,female,18,6,GRUNE
69,Austria,female,8,1,SPO
70,Austria,male,14,6,OVP
71,Austria,male,12,0,OVP
72,Austria,male,12,5,GGG
73,Austria,female,16,7,OVP
74,Austria,male,13,3,SPO
75,Austria,male,15,8,OVP
76,Austria,female,7,6,SPO
77,Austria,female,13,5,OVP
78,Austria,female,20,5,GRUNE
79,Austria,female,13,7,OVP
80,Austria,male,18,9,OVP
81,Austria,male,17,7,OVP
82,Austria,female,15,6,OVP
83,Austria,female,8,5,SPO
84,Austria,male,12,8,OVP
85,Austria,female,12,6,SPO
86,Austria,male,12,7,SPO
87,Austria,female,11,7,OVP
88,Austria,female,10,8,OVP
89,Austria,female,12,5,GRUNE
90,Austria,female,14,5,GRUNE
91,Austria,male,15,7,SPO
92,Austria,male,15,5,NEOS
93,Austria,male,9,2,SPO
94,Austria,female,14,6,OVP
95,Austria,male,20,4,GRUNE
96,Austria,male,14,3,NEOS
97,Austria,male,12,5,SPO
98,Austria,female,9,8,NEOS
99,Austria,male,20,5,GRUNE
100,Austria,female,12,8,GGG
101,Austria,male,14,5,SPO
102,Austria,male,5,5,SPO
103,Austria,female,13,5,SPO
104,Austria,male,10,10,GGG
105,Austria,male,13,6,GRUNE
106,Austria,male,9,6,GGG
107,Austria,male,13,8,OVP
108,Austria,female,11,7,OVP
109,Austria,male,15,7,OVP
110,Austria,male,11,10,OVP
111,Austria,female,12,6,SPO
112,Austria,female,14,5,GRUNE
113,Austria,male,19,8,OVP
114,Austria,male,13,2,GRUNE
115,Austria,female,18,5,NEOS
116,Austria,male,8,5,OVP
117,Austria,female,11,10,SPO
118,Austria,male,18,5,OVP
119,Austria,female,19,4,SPO
120,Austria,male,10,6,SPO
121,Austria,male,12,5,GGG
122,Austria,female,8,5,OVP
123,Austria,male,12,8,OVP
124,Austria,female,11,3,SPO
125,Austria,male,8,5,OVP
126,Austria,male,13,7,OVP
127,Austria,male,16,1,NEOS
128,Austria,male,10,3,OVP
129,Austria,male,10,10,OVP
130,Austria,male,11,10,GGG
131,Austria,male,12,6,GGG
132,Austria,male,12,6,SPO
133,Austria,female,19,4,GRUNE
134,Austria,male,12,7,OVP
135,Austria,male,18,5,GRUNE
136,Austria,male,15,5,OVP
137,Austria,male,14,6,SPO
138,Austria,male,13,3,GRUNE
139,Austria,female,12,7,OVP
140,Austria,female,12,9,OVP
141,Austria,male,13,9,OVP
142,Austria,male,10,6,OVP
143,Austria,female,12,7,SPO
144,Austria,female,13,5,SPO
145,Austria,male,17,9,GGG
146,Austria,female,15,4,SPO
147,Austria,female,13,5,SPO
148,Austria,female,14,5,OVP
149,Austria,female,12,4,GRUNE
150,Austria,female,19,0,GRUNE
151,Austria,male,20,6,OVP
152,Austria,male,9,7,SPO
153,Austria,female,12,2,OVP
154,Austria,male,13,10,OVP
155,Austria,male,13,5,SPO
156,Austria,female,11,9,OVP
157,Austria,male,11,6,NEOS
158,Austria,female,17,8,OVP
159,Austria,female,17,3,GRUNE
160,Austria,male,13,7,OVP
161,Austria,male,19,5,NEOS
162,Austria,male,18,5,OVP
163,Austria,male,18,4,SPO
164,Austria,female,13,5,OVP
165,Austria,male,17,2,NEOS
166,Austria,female,19,0,GRUNE
167,Austria,female,14,6,SPO
168,Austria,male,12,5,OVP
169,Austria,female,18,10,GGG
170,Austria,female,16,6,OVP
171,Austria,male,13,5,OVP
172,Austria,male,9,7,GGG
173,Austria,male,14,7,OVP
174,Austria,female,16,5,OVP
175,Austria,male,14,5,OVP
176,Austria,male,16,5,NEOS
177,Austria,male,20,4,NEOS
178,Austria,female,23,5,OVP
179,Austria,male,13,2,GRUNE
180,Austria,female,11,10,OVP
181,Austria,female,15,2,GRUNE
182,Austria,male,12,3,OVP
183,Austria,female,19,5,SPO
184,Austria,female,22,5,NEOS
185,Austria,male,13,6,OVP
186,Austria,female,13,5,GRUNE
187,Austria,female,15,8,OVP
188,Austria,male,15,5,GRUNE
189,Austria,male,20,5,GRUNE
190,Austria,male,16,5,SPO
191,Austria,female,12,5,SPO
192,Austria,female,10,7,OVP
193,Austria,male,16,7,OVP
194,Austria,male,13,0,OVP
195,Austria,female,14,10,GGG
196,Austria,female,18,6,OVP
197,Austria,male,13,0,NEOS
198,Austria,female,13,0,GRUNE
199,Austria,male,15,5,OVP
200,Austria,male,8,7,SPO
201,Austria,female,15,5,OVP
202,Austria,male,15,5,GRUNE
203,Austria,female,14,5,OVP
204,Austria,female,22,5,NEOS
205,Austria,male,13,3,OVP
206,Austria,male,14,8,NEOS
207,Austria,male,13,6,SPO
208,Austria,female,18,5,GRUNE
209,Austria,male,11,7,OVP
210,Austria,female,12,5,OVP
211,Austria,male,15,3,OVP
212,Austria,male,12,0,GRUNE
213,Austria,female,12,5,SPO
214,Austria,female,12,3,SPO
215,Austria,male,16,4,OVP
216,Austria,female,12,9,GGG
217,Austria,female,16,5,OVP
218,Austria,female,13,7,OVP
219,Austria,female,23,4,SPO
220,Austria,female,13,8,OVP
221,Austria,female,12,9,OVP
222,Austria,male,12,8,GGG
223,Austria,female,13,5,SPO
224,Austria,male,14,7,OVP
225,Austria,male,18,3,GRUNE
226,Austria,female,13,5,SPO
227,Austria,female,8,5,OVP
228,Austria,female,14,3,GRUNE
229,Austria,female,14,2,GRUNE
230,Austria,female,14,5,OVP
231,Austria,female,19,5,GRUNE
232,Austria,male,16,0,GRUNE
233,Austria,female,8,9,OVP
234,Austria,female,16,5,NEOS
235,Austria,male,12,5,SPO
236,Austria,female,11,6,SPO
237,Austria,male,11,5,OVP
238,Austria,female,12,5,SPO
239,Austria,female,9,4,OVP
240,Austria,female,12,8,GRUNE
241,Austria,male,8,8,SPO
242,Austria,female,10,8,OVP
243,Austria,male,19,7,NEOS
244,Austria,female,9,8,GGG
245,Austria,male,15,10,GGG
246,Austria,female,14,8,OVP
247,Austria,male,10,5,GRUNE
248,Austria,female,12,5,GRUNE
249,Austria,female,13,5,OVP
250,Austria,male,10,9,OVP
251,Austria,male,23,1,GRUNE
252,Austria,male,13,6,GRUNE
253,Austria,female,11,3,GRUNE
254,Austria,female,12,3,GRUNE
255,Austria,female,21,0,GRUNE
256,Austria,male,20,0,SPO
257,Austria,male,18,5,NEOS
258,Austria,male,16,4,NEOS
259,Austria,male,12,5,SPO
260,Austria,female,13,5,SPO
261,Austria,female,13,8,NEOS
262,Austria,male,13,10,SPO
263,Austria,male,13,5,GRUNE
264,Austria,male,13,7,NEOS
265,Austria,female,12,7,OVP
266,Austria,male,12,8,GGG
267,Austria,male,12,1,SPO
268,Austria,female,11,5,OVP
269,Austria,male,13,5,GRUNE
270,Austria,female,18,10,SPO
271,Austria,male,11,6,GRUNE
272,Austria,female,13,5,OVP
273,Austria,male,19,6,NEOS
274,Austria,female,13,9,OVP
275,Austria,male,12,9,OVP
276,Austria,male,15,7,GRUNE
277,Austria,male,11,6,GGG
278,Austria,female,16,3,NEOS
279,Austria,male,20,7,OVP
280,Austria,female,12,5,OVP
281,Austria,male,17,5,GRUNE
282,Austria,male,20,5,SPO
283,Austria,female,18,6,OVP
284,Austria,female,12,9,GGG
285,Austria,male,17,8,OVP
286,Austria,male,11,5,GRUNE
287,Austria,female,11,8,OVP
288,Austria,male,12,6,GGG
289,Austria,male,12,0,OVP
290,Austria,male,13,3,GRUNE
291,Austria,male,4,10,OVP
292,Austria,male,12,5,SPO
293,Austria,female,11,3,SPO
294,Austria,male,13,3,SPO
295,Austria,female,18,3,GRUNE
296,Austria,female,19,4,OVP
297,Austria,female,10,8,OVP
298,Austria,female,12,5,OVP
299,Austria,female,12,8,GGG
300,Austria,male,20,5,OVP
301,Austria,male,13,4,OVP
302,Austria,female,11,7,OVP
303,Austria,female,14,10,SPO
304,Austria,male,20,5,OVP
305,Austria,female,17,3,GRUNE
306,Austria,female,12,6,SPO
307,Austria,female,12,7,OVP
308,Austria,female,11,5,OVP
309,Austria,male,17,3,GRUNE
310,Austria,female,12,10,GGG
311,Austria,male,16,0,SPO
312,Austria,female,14,2,GRUNE
313,Austria,female,10,7,OVP
314,Austria,male,15,5,SPO
315,Austria,male,14,5,GRUNE
316,Austria,female,19,10,GRUNE
317,Austria,female,19,1,GRUNE
318,Austria,male,14,8,SPO
319,Austria,male,2,10,GGG
320,Austria,female,15,2,OVP
321,Austria,male,12,7,SPO
322,Austria,female,19,4,GRUNE
323,Austria,female,12,5,NEOS
324,Austria,female,17,5,NEOS
325,Austria,male,14,5,OVP
326,Austria,female,13,8,OVP
327,Austria,female,25,6,SPO
328,Austria,male,11,3,SPO
329,Austria,male,12,8,GGG
330,Austria,female,13,7,OVP
331,Austria,male,13,7,SPO
332,Austria,male,20,0,GRUNE
333,Austria,male,12,6,OVP
334,Austria,female,15,3,NEOS
335,Austria,male,12,5,SPO
336,Austria,female,12,5,OVP
337,Austria,female,16,2,GRUNE
338,Austria,male,13,6,NEOS
339,Austria,male,16,7,OVP
340,Austria,female,15,5,SPO
341,Austria,female,20,2,GRUNE
342,Austria,male,14,6,OVP
343,Austria,male,12,5,SPO
344,Austria,male,20,8,SPO
345,Austria,male,19,2,NEOS
346,Austria,female,10,6,GRUNE
347,Austria,female,11,10,OVP
348,Austria,male,18,3,SPO
349,Austria,female,12,8,GGG
350,Austria,female,25,7,OVP
351,Austria,female,9,5,GRUNE
352,Austria,male,11,6,OVP
353,Austria,female,17,5,GRUNE
354,Austria,male,17,6,OVP
355,Austria,male,17,5,SPO
356,Austria,male,12,5,SPO
357,Austria,female,9,8,SPO
358,Austria,male,7,10,OVP
359,Austria,male,13,7,OVP
360,Austria,female,21,2,GRUNE
361,Austria,male,12,5,OVP
362,Austria,female,25,10,GGG
363,Austria,male,9,9,NEOS
364,Austria,male,10,8,SPO
365,Austria,female,12,8,GGG
366,Austria,male,14,1,GRUNE
367,Austria,male,15,8,GGG
368,Austria,male,11,4,OVP
369,Austria,female,19,2,NEOS
370,Austria,female,12,0,GRUNE
371,Austria,female,12,3,SPO
372,Austria,female,9,7,OVP
373,Austria,male,15,0,OVP
374,Austria,female,12,0,NEOS
375,Austria,female,16,5,NEOS
376,Austria,male,18,5,OVP
377,Austria,male,16,5,GRUNE
378,Austria,female,13,5,GGG
379,Austria,male,15,7,OVP
380,Austria,female,13,6,GRUNE
381,Austria,male,18,3,GRUNE
382,Austria,male,12,7,OVP
383,Austria,female,16,5,OVP
384,Austria,female,14,6,SPO
385,Austria,male,12,5,GGG
386,Austria,male,19,4,NEOS
387,Austria,male,19,5,OVP
388,Austria,female,13,7,OVP
389,Austria,female,25,7,OVP
390,Austria,male,13,10,SPO
391,Austria,male,13,10,GGG
392,Austria,female,9,2,OVP
393,Austria,female,15,4,GRUNE
394,Austria,female,8,9,SPO
395,Austria,male,11,3,OVP
396,Austria,male,12,4,OVP
397,Austria,female,14,5,GRUNE
398,Austria,female,19,2,GRUNE
399,Austria,male,12,7,OVP
400,Austria,female,15,5,SPO
401,Austria,female,12,4,OVP
402,Austria,female,13,2,SPO
403,Austria,female,11,5,GRUNE
404,Austria,male,5,10,OVP
405,Austria,female,9,10,GGG
406,Austria,male,13,6,OVP
407,Austria,female,18,10,OVP
408,Austria,male,16,3,GRUNE
409,Austria,female,15,5,NEOS
410,Austria,male,14,2,SPO
411,Austria,male,19,0,GRUNE
412,Austria,male,15,2,GRUNE
413,Austria,female,11,8,OVP
414,Austria,female,18,5,GRUNE
415,Austria,male,14,5,GRUNE
416,Austria,male,17,0,SPO
417,Austria,female,19,8,GGG
418,Austria,female,15,2,GRUNE
419,Austria,female,12,6,SPO
420,Austria,male,14,7,OVP
421,Austria,male,13,10,GGG
422,Austria,female,12,2,GRUNE
423,Austria,male,9,7,OVP
424,Austria,female,13,10,OVP
425,Austria,female,14,7,GRUNE
426,Austria,female,4,6,SPO
427,Austria,male,16,6,OVP
428,Austria,male,9,9,OVP
429,Austria,male,19,2,OVP
430,Austria,male,11,7,OVP
431,Austria,female,11,2,GRUNE
432,Austria,female,9,9,SPO
433,Austria,female,13,5,SPO
434,Austria,male,14,3,GRUNE
435,Austria,female,9,10,GGG
436,Austria,male,9,2,SPO
437,Austria,female,19,5,SPO
438,Austria,female,20,5,SPO
439,Austria,female,11,5,OVP
440,Austria,female,16,5,GRUNE
441,Austria,male,11,7,OVP
442,Austria,male,8,10,OVP
443,Austria,male,10,8,SPO
444,Austria,female,10,10,SPO
445,Austria,male,13,4,OVP
446,Austria,male,17,3,SPO
447,Austria,female,11,9,OVP
448,Austria,male,16,5,GRUNE
449,Austria,female,14,5,OVP
450,Austria,male,11,7,OVP
451,Austria,female,12,10,SPO
452,Austria,male,16,0,GRUNE
453,Austria,male,18,5,SPO
454,Austria,male,12,7,OVP
455,Austria,female,17,10,OVP
456,Austria,male,17,2,GRUNE
457,Austria,female,12,4,SPO
458,Austria,female,15,0,GRUNE
459,Austria,male,13,6,GGG
460,Austria,female,17,8,SPO
461,Austria,male,20,8,GGG
462,Austria,male,21,0,GRUNE
463,Austria,male,12,10,SPO
464,Austria,male,15,3,GRUNE
465,Austria,male,13,6,GGG
466,Austria,female,16,0,GRUNE
467,Austria,male,18,2,SPO
468,Austria,male,16,4,GRUNE
469,Austria,male,13,0,GRUNE
470,Austria,male,19,2,GRUNE
471,Austria,male,12,5,OVP
472,Austria,female,13,10,OVP
473,Austria,female,16,5,NEOS
474,Austria,male,8,5,OVP
475,Austria,male,13,7,OVP
476,Austria,male,15,10,OVP
477,Austria,female,8,8,SPO
478,Austria,female,17,2,GRUNE
479,Austria,female,15,4,GRUNE
480,Austria,female,13,10,SPO
481,Austria,female,12,8,OVP
482,Austria,female,12,4,SPO
483,Austria,male,11,1,OVP
484,Austria,female,14,5,GGG
485,Austria,male,15,10,OVP
486,Austria,female,13,7,SPO
487,Austria,female,10,10,SPO
488,Austria,female,18,0,OVP
489,Austria,female,15,7,OVP
490,Austria,male,22,8,OVP
491,Austria,female,12,7,OVP
492,Austria,female,12,3,OVP
493,Austria,female,10,9,GGG
494,Austria,female,11,6,GRUNE
495,Austria,female,14,10,GGG
496,Austria,male,17,0,OVP
497,Austria,female,14,6,OVP
498,Austria,male,19,0,GRUNE
499,Austria,female,19,8,OVP
500,Austria,female,14,6,GRUNE
501,Austria,female,16,4,GRUNE
502,Austria,male,15,6,OVP
503,Austria,female,17,5,SPO
504,Austria,female,22,4,SPO
505,Austria,male,21,5,SPO
506,Austria,female,12,8,OVP
507,Austria,male,13,4,OVP
508,Austria,male,11,10,OVP
509,Austria,female,11,6,OVP
510,Austria,female,13,7,SPO
511,Austria,male,18,5,GRUNE
512,Austria,male,13,7,OVP
513,Austria,male,11,8,GGG
514,Austria,female,18,4,GRUNE
515,Austria,female,16,2,GRUNE
516,Austria,male,14,8,GGG
517,Austria,male,11,2,SPO
518,Austria,female,13,2,OVP
519,Austria,male,14,8,OVP
520,Austria,female,11,5,SPO
521,Austria,female,8,8,OVP
522,Austria,female,15,3,GRUNE
523,Austria,female,18,5,NEOS
524,Austria,female,13,8,SPO
525,Austria,male,23,9,GGG
526,Austria,male,13,3,GRUNE
527,Austria,female,10,7,GRUNE
528,Austria,female,11,2,SPO
529,Austria,female,14,6,GRUNE
530,Austria,female,20,2,GRUNE
531,Austria,female,11,8,SPO
532,Austria,male,12,5,SPO
533,Austria,male,18,5,SPO
534,Austria,male,13,6,OVP
535,Austria,male,20,10,OVP
536,Austria,male,20,4,OVP
537,Austria,male,17,6,OVP
538,Austria,male,18,10,GRUNE
539,Austria,female,11,8,OVP
540,Austria,female,18,5,GRUNE
541,Austria,female,12,5,SPO
542,Austria,female,12,0,GRUNE
543,Austria,male,19,0,SPO
544,Austria,female,11,5,NEOS
545,Austria,female,15,3,GRUNE
546,Austria,male,12,6,SPO
547,Austria,male,9,4,SPO
548,Austria,female,18,4,NEOS
549,Austria,female,14,5,GRUNE
550,Austria,female,12,5,OVP
551,Austria,male,18,4,OVP
552,Austria,male,12,5,OVP
553,Austria,male,13,5,OVP
554,Austria,female,8,4,SPO
555,Austria,male,17,1,GRUNE
556,Austria,female,16,8,SPO
557,Austria,female,19,5,OVP
558,Austria,male,12,5,OVP
559,Austria,male,13,2,SPO
560,Austria,female,12,5,OVP
561,Austria,female,12,9,SPO
562,Austria,female,12,6,OVP
563,Austria,male,13,5,GRUNE
564,Austria,male,17,0,OVP
565,Austria,male,9,8,SPO
566,Austria,male,13,5,NEOS
567,Austria,male,10,3,GRUNE
568,Austria,male,12,6,GGG
569,Austria,male,13,2,NEOS
570,Austria,male,12,5,SPO
571,Austria,male,18,5,NEOS
572,Austria,male,14,6,GRUNE
573,Austria,female,18,4,SPO
574,Austria,female,12,7,OVP
575,Austria,female,15,5,GRUNE
576,Austria,male,11,6,OVP
577,Austria,female,21,2,NEOS
578,Austria,female,19,8,OVP
579,Austria,female,12,9,OVP
580,Austria,male,12,6,OVP
581,Austria,female,12,1,GRUNE
582,Austria,female,8,2,GRUNE
583,Austria,female,18,3,NEOS
584,Austria,female,18,6,NEOS
585,Austria,male,13,7,GRUNE
586,Austria,female,8,10,OVP
587,Austria,male,14,7,OVP
588,Austria,female,20,3,NEOS
589,Austria,female,18,0,SPO
590,Austria,female,15,6,OVP
591,Austria,female,11,5,OVP
592,Austria,female,17,5,OVP
593,Austria,male,17,6,OVP
594,Austria,male,20,4,GRUNE
595,Austria,male,15,5,NEOS
596,Austria,female,17,2,GRUNE
597,Austria,female,16,6,OVP
598,Austria,female,12,7,OVP
599,Austria,female,12,10,GGG
600,Austria,male,11,7,OVP
601,Austria,female,12,4,GRUNE
602,Austria,male,18,6,SPO
603,Austria,female,12,7,OVP
604,Austria,female,15,10,GGG
605,Austria,male,17,8,GGG
606,Austria,female,15,6,OVP
607,Austria,female,9,7,OVP
608,Austria,female,17,5,NEOS
609,Austria,male,12,5,SPO
610,Austria,male,18,1,GRUNE
611,Austria,male,20,5,SPO
612,Austria,male,12,5,SPO
613,Austria,female,11,4,NEOS
614,Austria,male,12,5,OVP
615,Austria,male,14,0,GRUNE
616,Austria,male,14,6,OVP
617,Austria,male,7,8,SPO
618,Austria,male,16,10,GGG
619,Austria,male,13,7,SPO
620,Austria,male,9,10,OVP
621,Austria,female,13,7,SPO
622,Austria,male,11,9,OVP
623,Austria,male,11,10,OVP
624,Austria,female,12,5,GRUNE
625,Austria,male,18,2,GRUNE
626,Austria,female,12,6,SPO
627,Austria,female,16,2,SPO
628,Austria,male,11,5,SPO
629,Austria,male,8,4,OVP
630,Austria,female,14,5,OVP
631,Austria,female,15,2,GRUNE
632,Austria,female,12,8,OVP
633,Austria,female,12,7,OVP
634,Austria,female,20,1,SPO
635,Austria,female,21,7,OVP
636,Austria,female,13,7,OVP
637,Austria,male,13,7,OVP
638,Austria,male,19,9,OVP
639,Austria,male,13,2,GRUNE
640,Austria,female,13,7,OVP
641,Austria,female,10,10,NEOS
642,Austria,male,12,0,GRUNE
643,Austria,female,20,3,NEOS
644,Austria,male,12,7,OVP
645,Austria,male,15,9,OVP
646,Austria,male,12,1,SPO
647,Austria,male,15,2,SPO
648,Austria,male,11,5,OVP
649,Austria,female,13,1,OVP
650,Austria,female,12,5,OVP
651,Austria,male,11,10,GGG
652,Austria,male,10,6,OVP
653,Austria,male,13,10,OVP
654,Austria,male,14,5,OVP
655,Austria,male,15,9,SPO
656,Austria,female,13,5,SPO
657,Austria,female,14,8,SPO
658,Austria,female,12,7,OVP
659,Austria,female,9,5,OVP
660,Austria,male,13,2,OVP
661,Austria,female,12,2,NEOS
662,Austria,female,17,0,GRUNE
663,Austria,male,12,5,NEOS
664,Austria,male,15,7,OVP
665,Austria,male,15,4,GRUNE
666,Austria,female,12,5,GRUNE
667,Austria,male,20,8,OVP
668,Austria,male,20,5,OVP
669,Austria,female,9,6,GRUNE
670,Austria,male,11,5,OVP
671,Austria,male,17,10,GRUNE
672,Austria,male,12,5,OVP
673,Austria,male,13,2,NEOS
674,Austria,male,14,10,OVP
675,Austria,male,8,10,SPO
676,Austria,female,13,5,SPO
677,Austria,female,12,8,OVP
678,Austria,female,12,5,OVP
679,Austria,female,9,6,OVP
680,Austria,male,20,5,OVP
681,Austria,female,12,8,OVP
682,Austria,female,12,10,SPO
683,Austria,male,14,5,NEOS
684,Austria,female,20,5,SPO
685,Austria,female,13,4,OVP
686,Austria,female,9,2,SPO
687,Austria,male,12,5,OVP
688,Austria,female,15,5,OVP
689,Austria,female,9,5,OVP
690,Austria,male,18,8,GGG
691,Austria,male,17,6,SPO
692,Austria,male,12,8,GGG
693,Austria,male,9,8,OVP
694,Austria,male,11,7,OVP
695,Austria,male,19,2,GRUNE
696,Austria,female,14,8,OVP
697,Austria,female,12,7,GRUNE
698,Austria,female,14,4,SPO
699,Austria,female,13,9,GGG
700,Austria,female,20,5,GRUNE
701,Austria,female,12,5,OVP
702,Austria,female,13,5,GRUNE
703,Austria,female,11,9,GGG
704,Austria,female,12,3,SPO
705,Austria,male,12,8,OVP
706,Austria,female,12,5,OVP
707,Austria,male,13,5,OVP
708,Austria,female,15,5,GRUNE
709,Austria,male,12,10,SPO
710,Austria,female,13,5,GGG
711,Austria,male,12,10,GGG
712,Austria,male,11,9,SPO
713,Austria,male,9,5,OVP
714,Austria,male,12,5,SPO
715,Austria,female,16,7,OVP
716,Austria,female,16,8,GGG
717,Austria,female,11,5,OVP
718,Austria,male,13,2,NEOS
719,Austria,female,12,2,SPO
720,Austria,male,21,5,GRUNE
721,Austria,male,12,1,GRUNE
722,Austria,male,12,8,SPO
723,Austria,male,15,6,SPO
724,Austria,female,11,10,GGG
725,Austria,female,8,10,SPO
726,Austria,female,11,7,OVP
727,Austria,female,12,5,NEOS
728,Austria,male,12,3,NEOS
729,Austria,male,14,9,GGG
730,Austria,female,12,5,SPO
731,Austria,female,12,5,SPO
732,Austria,female,15,7,GGG
733,Austria,female,12,5,OVP
734,Austria,male,13,0,NEOS
735,Austria,female,12,6,NEOS
736,Austria,male,15,8,OVP
737,Austria,female,16,0,SPO
738,Austria,female,14,7,GGG
739,Austria,male,12,5,OVP
740,Austria,female,15,7,OVP
741,Austria,male,12,5,OVP
742,Austria,female,24,5,GRUNE
743,Austria,male,20,10,SPO
744,Austria,male,15,3,SPO
745,Austria,female,18,3,GRUNE
746,Austria,female,12,8,SPO
747,Austria,male,11,9,OVP
748,Austria,female,12,8,OVP
749,Austria,male,8,9,OVP
750,Austria,female,20,5,GRUNE
751,Austria,female,10,9,OVP
752,Austria,female,13,2,SPO
753,Austria,female,11,2,OVP
754,Austria,female,12,10,OVP
755,Austria,male,13,10,OVP
756,Austria,female,13,7,OVP
757,Austria,male,9,10,GGG
758,Austria,female,9,5,OVP
759,Austria,male,12,5,GGG
760,Austria,female,17,0,GRUNE
761,Austria,male,12,9,OVP
762,Austria,male,12,1,SPO
763,Austria,female,16,2,GRUNE
764,Austria,male,15,6,NEOS
765,Austria,female,12,6,SPO
766,Austria,female,19,3,SPO
767,Austria,female,17,6,OVP
768,Austria,female,20,6,OVP
769,Austria,male,11,6,GRUNE
770,Austria,female,16,5,OVP
771,Austria,male,18,3,GRUNE
772,Austria,female,16,5,OVP
773,Austria,male,11,7,GRUNE
774,Austria,female,12,10,OVP
775,Austria,female,14,10,OVP
776,Austria,male,10,5,OVP
777,Austria,male,13,5,OVP
778,Austria,female,12,9,OVP
779,Austria,female,11,4,SPO
780,Austria,male,12,6,GGG
781,Austria,female,16,3,OVP
782,Austria,male,10,9,GGG
783,Austria,female,15,5,SPO
784,Austria,male,17,5,OVP
785,Austria,female,11,6,NEOS
786,Austria,male,12,7,GGG
787,Austria,male,18,5,OVP
788,Austria,male,14,6,OVP
789,Austria,male,14,4,OVP
790,Austria,female,20,2,NEOS
791,Austria,female,12,7,OVP
792,Austria,female,13,5,GRUNE
793,Austria,male,9,10,OVP
794,Austria,male,13,6,OVP
795,Austria,female,11,7,OVP
796,Austria,female,14,3,GRUNE
797,Austria,female,11,6,GRUNE
798,Austria,female,14,4,GRUNE
799,Austria,female,13,5,GRUNE
800,Austria,male,20,8,NEOS
801,Austria,female,14,3,SPO
802,Austria,male,15,8,OVP
803,Austria,male,12,10,GGG
804,Austria,male,12,4,NEOS
805,Austria,female,15,5,OVP
806,Austria,female,12,5,OVP
807,Austria,male,23,5,OVP
808,Austria,female,13,8,OVP
809,Austria,female,12,2,NEOS
810,Austria,female,13,7,OVP
811,Austria,female,15,8,SPO
812,Austria,male,15,5,OVP
813,Austria,female,13,2,GRUNE
814,Austria,female,13,5,OVP
815,Austria,male,13,9,OVP
816,Austria,male,15,5,OVP
817,Austria,male,10,5,OVP
818,Austria,female,12,0,GRUNE
819,Austria,male,13,5,GRUNE
820,Austria,male,16,5,GRUNE
821,Austria,female,18,3,SPO
822,Austria,female,16,7,OVP
823,Austria,female,12,4,SPO
824,Austria,male,14,5,OVP
825,Austria,male,13,4,SPO
826,Austria,female,12,5,OVP
827,Austria,male,18,0,GRUNE
828,Austria,male,8,5,OVP
829,Austria,female,12,6,OVP
830,Austria,female,10,6,GGG
831,Austria,female,11,6,OVP
832,Austria,male,13,5,OVP
833,Austria,female,20,3,GRUNE
834,Austria,male,10,8,OVP
835,Austria,female,13,5,GGG
836,Austria,male,10,3,NEOS
837,Austria,male,18,5,SPO
838,Austria,male,12,5,SPO
839,Austria,female,17,5,NEOS
840,Austria,female,11,10,OVP
841,Austria,male,13,7,OVP
842,Austria,female,15,5,OVP
843,Austria,male,14,7,OVP
844,Austria,female,11,5,SPO
845,Austria,female,11,7,NEOS
846,Austria,female,20,3,SPO
